savjetodavno tijelo	advisory body
feroelastici	ferroelastics
sprava koja zaustavlja vatru na oduSniku	flame arrestor
iSCekivati	await
smjeranje	reference
promijenjeno	changed
suvenir	souvenir
otkljuCavanje	unlocking
muhojed	fly-eater
promijenjene	changed
audiometar	audiometer
termogram	thermogram
katalogiziranje	cataloguing
dospijeGe	maturity
termograf	thermograph
uporan Covjek	die hard
glagolizam	glagolitism
ministarstvo prosvjete	ministry of education
metoda datiranja	dating method
fina Zivotinjska dlaka	fine animal hair
kuhinjski ormariG	sideboard
kao biser sjajan	pearly
kratka promjena amplitude signala (u idealnoj situ	pulse
prijateljica	girl-friend
nulte	zero
ulaznina	admission
telegrafista	operator
balearsko otoCje	balearic islands
ciganCiGi	sleet
odstupanje od minus 5 mm	a tolerance of up to minus 5 mm
doktrinarstvo	doctrinairism
upaljenost	rancidity
juha od rajCica	tomato soup
juha od rajCice	tomato soup
pretvaraC momenta	torque converter
preuzimanje u pokriGe	cover attachment
nagaziti	come across
fraudov sustav za sakupljanje informacija	fraud information gathering system
protuavionska vatra	flak
zlatovrana	roller
dotle	meanwhile
redar	bobby
pojmovi	terms
talijanske regije	regions of italy
klokoCica	moorhen
igraGa karta	playing card
donjoposavska	spodnjeposavska
obrtati se	wheel
apstraktno rasuDivanje	abstract reasoning
vizualni materijali	visual material
pileGi file u umaku od kukuruza	chicken filet in corn sauce
bez naslova	untitled
uZe za vuCu	tow-rope
ukrepa	stiffener
uzajamni odnos	proportion
glinenci	feldspars
osjetiti	sense
zadati pokoru	penance
pokretne komunikacije	mobile communications
muljaCa	black-tailed godwit
obalna dizalica	quay crane
dimljeni	smoke-dried
u tom cilju	to this end
gmizati	worm
odrZivo gospodarenje vodama	sustainable water management
socijalna inteligencija	social intelligence
koji ima Siroku primjenu	far-reaching
rad kod malog broja okretaja	idling
zadrZavanje poziva	call hold
garnitura za buSenje	rig
suuCesniStvo	complicity
djelokrug konkurentskog rivaliteta	scope of competitive rivalry
protivni	contrary
Zljezdanica	adenocyte
statistiCko naCelo	principle of statistics
protivno	vice
politika dohodaka	incomes policy
raSClaniti	parse
termo	thermo
intenzivirati	step up
blok-adresa	block address
viSejeziCan	polyglot
okajati	rue
feritni sklop	ferrite device
odspojen	untethered
blok kuGa	block
zavrSeci	termini
obrtna sila	torque
binarni prikaz	dyadic representation
jedinica za ispomoG	resource unit
anizotropni materijali	anisotropic materials
tunela	tunnels
indirektno	indirectly
samoovisnost	autocorrelation
dubina utora	depth of key way
mutagenost	mutagenicity
dati na kredit	trust
sretan uskrs	happy easter
pravda	right
vertikalan	vertical
butil kation	butyl cation
vijoglava	wryneck
osvrtanje	retrospection
duljina okvira	frame length
tempiran	timed
sred za jaCanje	restorative
permakulutra	permaculture
humani plasma hepatopoietin	human plasma hepatopoietin
Grotron	Grotron
preSkolski odgoj	early childhood education
husar	hussar
lomljenje	refraction
akuSerstvo	obstetrics
kazniti dosuDivanjem prekrSaja	sanction by a penalty
zatvoriti kukicom	barb
igranje druge lopte	second-ball play
zakon o parniCnom postupku	law on civil procedure
sadnica	slip
sirovi pepeo	crude ash
preCka	trace
visokoprinosni	high-yield
usijati	set on fire
trgovaCka oznaka	general commercial description
planirati	set out
iskoriStenost kapaciteta	facility utilization
patuljasti barski pjetliG	baillon's crake
odjekivanje	boominess
koristiti usluge neovisnih suradnika	outsource
membranska filtracija	membrane filtration technique
prdac	fart
snimi ikone	save icons
smjernica zajednice	community guideline
skupina virtualnih pritoka	virtual tributary group
elastiCnost potraZnje	elasticity of demand
amalgamacija	amalgamation
neograniCeno vrijeme	unlimited period
nepristranost	unbiasedness
daleko rasprostranjeno	all abroad
crkveno-vjerska srediSta	religious and church centres
umekSavanje	softening
podrhtavati	vibrate
tvrdi disk	hard disk drive
prevuGi	wax
podrijetlo	source
ispucati	crack
prvi Clan zbroja	augend
razvojni modeli	developing models
trojstvo	triune
porez na poslovanje	business tax
robna pomoG	aid in kind
gudalo	fiddlestick
ugovor o usluzi	services contract
protokol upravljanja vezom ovisan o usluzi	service specific connection oriented protocol
delikatesa	delicacy
individualna stambena izgradnja	private residential housing
Sipkasti uzemljivaC	earthing rod
troSkovi pomoGi	assistance expenses
broj kopija	number of copies
utjecaj buke na ljude	noise with respect to human beings
struktura uCionice	clasroom structure
nalog za hapSenje	fastener
retard	retard
odmarati se	rest
genski polimorfizmi	gene polymorphisms
podruCje vaZe.	scope
rezati	scissor
platana	plane
elektroencefalografija	electroencephalography
programska ploCa	wiring board
digitalna staza	digital path
instruiranje	instructing
radiosenzitivnost	radiosensitivity
prema krmi	astern
nadzor toka	flow control
rodoslovlje	family tree
voZnja u kanuu	canoeing
zaglavlje paketa	packet header
diplomski	graduation-
protiv smetnji	antinoise
sabirnica za proSirenja	expansion bus
oSteGeno vremenom	weather-beaten
smjernice za definiranje upravljanih objekata	guidelines for the definitions of managed objects
protiv smetnje	anticlutter
guma na toCku	tire
obavjeSGivati jedan drugoga	to keep each other informed
kalajisan	tinned
prethodnici	predecessors
elektrokemijsko taloZenje	electrochemical deposition
ceremonija	exercises
identifikator skupa korisniCkih informacija	payload type identifier
uspjeo bez iCije pomoGi	self made
republika gvatemala	republic of guatemala
memorijsko sredstvo	storage medium
magnetski oksid	lodestone
ukrasna zastavica na vojnom bubnju	drum-banner
hijerarhija upravljanja	management information tree
kalcedon	chalcedony
lazanje	lasagna
sustav upravljanja kvalitetom	total management system
implementirati	implement
elasto-plastoCne deformacije	elastc-plastic strains
bez Zurbe	slow
mikrovalovi	microwaves
koji se koleba	oscillatory
insuficijentan	insufficient
naCrCkan	scratchy
zablatiti jezgru	foul the core
prezime	surname
osporavati	dispute
datoteke	files
sjeverno ameriCki jelen	caribou
proglas	publication
virus mozaika krastavca sa satelitnom rna	cmv with satellite rna
sustav za slijetanje s pomoGu instrumenata	instrument landing system
kanal za prijenos crno-bijele televizijske slike	monochromatic channel
konjugati kinuklidina	quinuclidin conjugates
teZnju	striving
sluha	listlessness
iskrenje	sparking
pasivno stanje	standby
teZnja	trend
grafiCka reprodukcija	graphic reproductions
teZnji	aspirations
neosumnjiCen	unsuspected
poluga za izravnavanje	balance lever
ugaDanje linije	line conditioning
krajnji rok	latest date
izjava o pristupanju	enrolment
treptati	wink
prijamnik (podala ka)	sink
osip koZe	shingles
vino i jaka alkoholna piGa	wine and spirits
fraktalna geometrija	fractal geometry
nerazvojen	unripe
primljen	received
zajedniCki znanstveni skupovi	joint scientific meetings
razjedati	erode
gle!	lo
neCasno ophoDenje sa zastavom	desecration
incidencijska stryktura	incidence structure
dijalektalkna osnova	dialectal basis
ralo	plow
magnetometar	magnetomerer
trgovci	merchants
taloZina	sediment
plan razvoja poljoprivrednoga gospodarstva	farm development plan
pristupanje zajednici	accession to the community
silno osjeGajan	sentimental
tanke prevlake	thin coatings
kamatne stope	interest rates
raskuZivanje	fumigation
mlijeCni	milk
sustav za upravljanje i nadzor poziva	call management system
mehanika fluida	fluid mechanics
kaSastim	mashy
pokisao	soil
vratoloman	fool hardy
kanalske kodiranje	channel coding
plovni objekt	vessel
troSenje alata	tool wear
gen marker	gene marker
gvoZDe	pig iron
akt o prihvaGanju	acceptance
boljSevik	boshevik
ionske vrste	ionic species
plodovima	fruits
po mjeri	suit
nervozan Covjek	fidget
spajanje zavarivanjem	fusion splicing
tetovaZa	tattoo
teSki topovi	ordnance
opeGi se	scorch
Citavim putem	all along
eksplodirati	go off
manZeta	wrist band
koncept hijerarhijskog ustroja Gelija	hierarchical cell structure concept
osigurati nadzor	ensure surveillance
aminoacidopatija	aminoacidopathy
oduvijek	always
generator primjena	application generator
guste alkalijske pare	dense alkali vapors
radna norma	labour standards
memorijska karta	memory map
klasifikacijski kriteriji	classification criteria
skupno podizanj	group pickup
staviti uspravno	stand
moratlitet	mortality
napunjen pehar	brimmer
gibanica	cheese-cake
viSestruka uporaba valne duljine	wavelength reuse
internacionalni znak	international character
koSnjica	bee hive
zaraCunavanje	accounting
geometar	surveyor
udruga	society
starohrvatska crkvena arhitektura	old croatian church architecture
svjetleGa reklama	illuminated advertising
arheoloSki lokalitet	archGological site
pomijeSati se	mix
prikaCiti	stick
kraljeZnjak	vertebrated
defektnost	unsoundness
demantiran	denied
transportni protokol	transport protocol
kretati se	walk
legende	legends
podrugljivo	tauntingly
legenda	tale
rub Cela gdje poCinje rasi kosa	hairline
osmiSljavanju	shaping
priCvrSGivanje na kartone ili daske	fixing on cards or boards
benigan	benign
sutra idem u grad	i go to the city tomorrow
smanjivanje	wane
sferometrija	spherometry
osposobiti	train
gmiZa	amoeba
geoinZenjerstvo	geoengineering
zapovjednik odreda	force commander
procjena parametra	parameter estimation
fluorescentna spectroscopija	fluorescence spectroscopy
ugaDaC jakosti zvuka	volume control
rukavac	wrist
SeGeri	sugars
petrografija vulkanita	petrography of volcanic rocks
aparat za brijanje	shaver
delinkventna ponaSanja Zena	women's delinquent behaviors
pri tom	thereby
ilustrirani Casopisi	illustrated magazines
jesti halapljivo	gobble
rezati na pola	cut in halves
sjeciSte nebeskog equatora i ekliptike	equinox
daljska kulturna grupa	dalj culture
integrirani viSepodruCni regulator	integrated multisrte controller
transformatorska jezgra	transformer core
kiCmena moZdina	pith
centralizacija informacija	centralization of information
smjesta za tim	immediately
generator naprtnjaCe (u kriptografiji)	knapsack generator
inertnih	inert
kosti lubanje	skull bones
sintetski metali	synthetic metals
pozivni znak broda	call sign
viSeulazni spreZnik	multipart coupler
rupci	scarves
muzeologije	museology
prisilni nestanak	forced disappearance
muzeologija	museology
groblju	cemetery
filmski Zurnal	newsreel
izloZbena dvorana	exhibition hall
poniStenje	vitiation
otrovanje krvi	bloodpoisoning
istraZno povjerenstvo	fact-finding mission
komunist	communist
groblje	grave-yards
dioniCko druStvo za Zivotno osiguranje	proprietary life insurance company
ograditi	park
univerzalni instrument	unimeter
videokonferencijski sustav	video conferencing system
sitnjenje	trituration
fluor	fluoro
izvoDaC	player
alatna traka oblikovanje	formatting toolbar
leksikografski prilozi	lexicographic supplements
neutralni element	neutral element
zablatiti	muddy
zamamljivo	seducingly
troSkovi Zivota	cost of living
fileci	tripe
modificirano vebe - vrijeme	modified vebe-time
generator s multipleksiranjem	multiplexer generator
grafitonosni Skriljavci	graphite-bearing schists
politiCka stabilizacija	political stabilisation
alat za uvaljivanje cijevi	expander tool
alkalimetrijski	alkalimetric
aktivna strategija upravljanja	active management strategy
helmholtzova slobodna energija	helmholtz's free energy
abortirati	miscarry
odreDivanje sudaca	delegation of referees
vlastelinstvo	manor
dolazak paketa	packet arrival
potamniti	tarnish
sloga	unity
skijati se	ski
viSestran	multilateral
koji zaostaje	slow
gospodariti	wield
periodni	periodic
gumena cijev za polijevanje	hose
plaviG	blue tit
loZiva ulja	fuel oils
leksiCki	lexis
razjediniti	disjoin
dostatne informacije	sufficient information
integrirani sustavi	integrated systems
ograda	railing
kuplet	couplet
digitalna radiodifuzija	digital broadcasting
standard za proSirenje funkcija elektronske poSte	multipurpose internet mail extensions
upravljaCko raCunovodstvo	management accounting
crkvena glazba	church music
zahtjev za ponovnim uspostavljanjem (veze)	reset request
objaSnjeni	explained
milozvuCan	harmonious
CistoGa boje	color saturation
forvarderi	forwarders
europski meDumjesni radijski sustav	trans european trunked radio
osvrGe unazad	retrospective
oSamuGen	stunned
prilagoDenje impedancije	impedance matching
druStvena uloga	social role
pletizam	plethysm
povlaCenje iz sporazuma	withdrawal from an agreement
osiguranje Zivota	assurance
quicktime	quicktime
osteopenija	osteopenia
valovi	waves
mijenjanje	varying
dendrologija	dendrology
operacijski sustav korisnika	client operating system
gubitak sinkronizacije okvira	loss of frame
pohlepno	eagerly
boljSeviCki	bolshevist
udvojen	twin
stvoriti	originate
mutno	transcendentally
polje u koje se biljeZe imena	name field
legionar	legionary
muzeoloSka teorija	museological theory
odleZati	age
dekanilman	desannulation
hotelski recepcioner	recepcionist
plavljeni Celik	ingot steel
mala Sljuka	jack snipe
ja bih	should
kritika	review
neproraCunljiv	incalculable
kritike	critics
tuZba zbog neispunjenja ugovorne obveze	action for failure to fulfil an obligation
koji pomaZe	remedial
sporazum o poljoprivredi	agreement on agriculture
republika marSalovi otoci	republic of the marshall islands
s predloSkom dokumenata	with document's template
na svaki naCin	needs
eksperiment	experiment
diskovna jedinica	disk unit
vodeni ljiljan	flag
sektor diska	sector of disk
slabiti	weaken
viSak radne snage	redundant workers
metajezik	metalanguage
aktive	active
umirati od gladi	starve
aktiva	assets
pod zaStitom mraka	under the cover of darkness
